`339.`:flag_us:`MaverickAlmighty     68`
`339.`:flag_ar:`MineXeniM            68`
`341.`:flag_us:`Maximum              67`
`341.`:flag_gb:`Punchy               67`
`343.`:flag_us:`KendrickMeatRider69  66`
`344.`:flag_us:`totol                64`
`344.`:flag_us:`TheReverserOfTime    64`
`344.`:flag_ca:`Jorf                 64`
`347.`:flag_us:`bellring             63`
`348.`:flag_gb:`Mr.Blonde            62`
`348.`:flag_aq:`Mattmatt             62`
`348.`:flag_us:`KolIsTehMan          62`
`351.`:flag_us:`Sundex               61`
`352.`:flag_gb:`Vapo                 60`
`352.`:flag_pl:`Newt_Salamander      60`
`354.`:united_nations:`Pessimism            59`
`355.`:flag_ca:`DarQ                 58`
`355.`:flag_gb:`TheJayJay            58`
`355.`:flag_gb:`huds601              58`
`358.`:flag_us:`afnannen136          56`
`358.`:flag_ru:`Yumashev             56`
`358.`:flag_tf:`Bob-chicken          56`
`358.`:flag_ca:`Soulslayer434        56`
`358.`:flag_us:`PizzaHydra           56`
`363.`:flag_us:`MUSICnGAMING         55`
`364.`:flag_kr:`Majoog               54`
`364.`:united_nations:`tayyip               54`
`364.`:flag_fr:`R0main               54`
`367.`:flag_us:`Bat                  53`
`367.`:flag_us:`PiePusher11          53`
`367.`:flag_us:`quane                53`
`370.`:flag_gb:`drgrumble            52`
`371.`:flag_gb:`Purple               51`
`372.`:flag_us:`barchun              50`
`372.`:flag_us:`Solderq35            50`
`374.`:flag_gb:`YoloMenace001        49`
`375.`:flag_de:`Nordicboa            48`
`375.`:flag_us:`Frikkinfriks14       48`
`375.`:flag_nl:`florrat2             48`
`378.`:flag_eu:`rythin               47`
`379.`:flag_us:`PeterAfro            46`
`379.`:flag_jp:`Hitshee_Spingear     46`
`381.`:flag_us:`smartalec24          45`
`381.`:flag_ua:`Pikachu              45`
`381.`:flag_br:`victu                45`
`384.`:flag_us:`RileySFPc            44`
`384.`:flag_us:`sage211              44`
`386.`:flag_us:`Jcool114             43`
`386.`:flag_us:`killingpepsi         43`
`386.`:flag_br:`LD_SPEEDRUNS         43`
`389.`:flag_us:`ThePKing             42`
`390.`:flag_us:`KeemoTherapy         41`
`390.`:united_nations:`JayKayGame           41`
`390.`:flag_us:`Mars02               41`
`393.`:flag_vh:`Naegi                39`
`393.`:flag_gb:`Hypnoshark           39`
`393.`:flag_us:`roblox8192           39`
`396.`:flag_ca:`Deln                 38`
`397.`:flag_de:`berlindude1          37`
`398.`:flag_us:`PunchSh0t            35`
`399.`:flag_us:`lackattack           34`
`400.`:flag_us:`MarioMario7829       33`
`400.`:flag_us:`swordsmankirby       33`
`400.`:flag_fi:`Remo                 33`
`400.`:flag_us:`MaySeaOh             33`
`400.`:flag_id:`Insert               33`
`405.`:flag_us:`MeesterTweester      32`
`405.`:flag_be:`Thextera             32`
`405.`:flag_us:`TrialsOfDeath        32`
`408.`:flag_us:`bluerapids12         31`
`408.`:flag_us:`JSR_                 31`
`410.`:flag_us:`Rallis               30`
`410.`:flag_us:`TheSensinator        30`
`410.`:flag_us:`Plumato              30`
`413.`:flag_nl:`Riekelt              29`
`413.`:flag_us:`JoeDamillio          29`
`413.`:flag_dk:`Daniel_1RD           29`
`416.`:flag_us:`randomidiot13        28`
`417.`:flag_us:`mrcab55              27`
`418.`:flag_fr:`DracaarysTrophy      26`
`418.`:flag_us:`Riidolsk             26`
`418.`:flag_gb:`RebelDragon95        26`
`421.`:flag_es:`JuegAriel            25`
`422.`:flag_ca:`KingJ0444            24`
`422.`:flag_mx:`Mingura666           24`
`422.`:flag_gb:`Tethys               24`
`422.`:flag_ca:`MannedTooth          24`
`422.`:flag_us:`FlannelKat           24`
`422.`:flag_us:`ROMaster2            24`
`428.`:flag_us:`_pandito_            23`
`428.`:flag_ru:`Tezur0               23`
`428.`:flag_im:`epicdorito           23`
`428.`:flag_us:`Toad22484            23`
`432.`:flag_us:`Zennan               22`
`432.`:flag_us:`Ecdycis              22`
`434.`:flag_us:`TGH                  21`
`434.`:flag_us:`Riko                 21`
`434.`:flag_us:`abney317             21`
`437.`:flag_ca:`tridenttail          20`
`437.`:flag_us:`authorblues          20`
`437.`:flag_nl:`janglestorm          20`
`440.`:flag_de:`360Chrism            19`
`440.`:flag_us:`Storster             19`
`440.`:flag_us:`Bloon                19`
`440.`:flag_ca:`MagicK               19`
`440.`:flag_us:`Wipeoutjack7         19`
`445.`:flag_us:`Nerd_Squared         18`
`445.`:flag_au:`AeonFrodo            18`
`447.`:flag_us:`BlueInfinity22       17`
`447.`:flag_us:`Vridend              17`
`447.`:flag_us:`Turtlespyder         17`
`447.`:united_nations:`KMMA                 17`
`451.`:flag_de:`MarvJungs            16`
`451.`:united_nations:`infinitemystery      16`
`451.`:flag_us:`Bokonon_Lives        16`
`454.`:flag_us:`Beanos               15`
`454.`:flag_br:`Danimed              15`
`454.`:flag_pr:`JustLeeBelmont       15`
`454.`:flag_ca:`The_Retro_Challenger 15`
`454.`:flag_us:`Keeganator           15`
`454.`:flag_us:`Odme_                15`
`460.`:flag_nl:`Kaopoke              14`
`460.`:flag_us:`OddPandemonium       14`
`460.`:flag_mk:`Bogdan_mk            14`
`460.`:flag_us:`alaris               14`
`464.`:flag_us:`btrim                13`
`464.`:united_nations:`Zuhiy                13`
`466.`:flag_us:`DarkSR3              12`
`466.`:flag_ch:`adrianus             12`
`466.`:flag_br:`QueijoExpirado       12`
`469.`:united_nations:`Flutter              11`
`469.`:flag_us:`meleewaluigi         11`
`471.`:flag_ch:`andypanther          10`
`471.`:flag_fr:`xerneas-yveltal      10`
`471.`:flag_ua:`Fatal_King           10`
`471.`:flag_de:`Xein64               10`
`471.`:flag_pl:`Megami_infini        10`
`476.`:flag_us:`NachoBrado            9`
`476.`:flag_us:`Francesco             9`
`476.`:flag_eu:`1                     9`
`479.`:flag_us:`GLand                 8`
`479.`:flag_us:`TDP_320               8`
`479.`:flag_nl:`MeridianPrime         8`
`479.`:flag_pt:`Pushyena              8`
`479.`:flag_us:`starsmiley            8`
`484.`:flag_us:`ZeeGee_               7`
`484.`:flag_ua:`Neural89              7`
`484.`:flag_us:`ebloodycandy          7`
`484.`:flag_es:`XabiXroSS             7`
`488.`:flag_us:`buffalax              6`
`488.`:flag_sr:`k0zzx                 6`
`490.`:flag_nl:`Kinnin11              5`
`490.`:flag_ie:`Dark_Matter9997       5`
`492.`:flag_jp:`Tonkotsu              4`
`492.`:flag_ca:`P4ntz                 4`
`492.`:flag_mx:`GhostSenpai           4`
`492.`:flag_us:`eddiecatgaming        4`
`492.`:united_nations:`RantronBomb           4`
`492.`:flag_ca:`Vidtendo              4`
`492.`:flag_us:`SHiFT                 4`
`499.`:flag_de:`BloodDerg             3`
`499.`:flag_us:`Mchan338              3`
`499.`:flag_au:`Tinonb                3`
`499.`:flag_us:`Caidren               3`
`499.`:flag_us:`robthegamer115        3`
`499.`:flag_vn:`hypv                  3`
`499.`:flag_pt:`WindMark              3`
`499.`:flag_hk:`SlowRunnerVM          3`
`507.`:flag_us:`blipblo               2`
`507.`:flag_us:`barnowl               2`
`507.`:flag_us:`_-_STAR_fox_-_        2`
`507.`:flag_us:`chryoyo               2`
`507.`:flag_au:`MrVirusYT             2`
`512.`:flag_us:`BFrobber              1`
`512.`:flag_us:`YoBGS                 1`
`512.`:flag_it:`TrueChqos             1`
`512.`:flag_us:`MarioManTAW           1`
`512.`:flag_us:`powerbread            1`
`512.`:united_nations:`jannik323             1`
`512.`:flag_ca:`Kyman                 1`
`519.`:flag_co:`SBells27              0`
`519.`:flag_us:`Jrjrdy16              0`
`519.`:flag_no:`Gnist                 0`
`519.`:flag_pl:`coachen               0`
`519.`:flag_us:`wakejald              0`
`519.`:flag_nl:`PainTensei            0`
`519.`:flag_au:`Echo                  0`
`519.`:flag_gb:`Nick1227              0`
`519.`:flag_us:`Kiwiener              0`
`519.`:united_nations:`mossranking           0`
